cluster_index,100track
0,497:0.17505866289138794 537:0.15904542803764343 5455:0.15040931105613708 3757:0.14506812393665314 3824:0.1443268209695816 3707:0.14419573545455933 954:0.1434706747531891 824:0.1432161182165146 5515:0.14073441922664642 4163:0.13998004794120789 4260:0.1394226998090744 1033:0.13938643038272858 4266:0.13848239183425903 727:0.13750407099723816 4196:0.13736924529075623 3756:0.13672369718551636 3805:0.13615629076957703 4392:0.13462568819522858 4496:0.13423819839954376 5419:0.1328319013118744 3706:0.1326405107975006 3708:0.13233636319637299 5426:0.130821093916893 4488:0.1304379403591156 3392:0.1302233785390854 3393:0.1297266036272049 1032:0.12966184318065643 939:0.12908275425434113 5456:0.128598153591156 4430:0.12843355536460876 5427:0.12830616533756256 4339:0.1281600445508957 3818:0.1281452625989914 3795:0.12804557383060455 5421:0.12770941853523254 4341:0.12754538655281067 4598:0.12727022171020508 4442:0.1272488832473755 3284:0.1271800696849823 4622:0.127123162150383 3778:0.12680937349796295 5672:0.12678933143615723 3793:0.12673042714595795 3705:0.1265850067138672 3439:0.12641847133636475 3436:0.1261902153491974 5430:0.12601010501384735 5457:0.12599197030067444 4058:0.12596707046031952 5453:0.1257726103067398 3738:0.12554821372032166 3385:0.12522195279598236 4359:0.12507691979408264 4304:0.12474682182073593 3305:0.12417667359113693 4483:0.12408813834190369 3648:0.12408600747585297 545:0.12356965243816376 4217:0.12353002279996872 3490:0.1234341636300087 5418:0.12336553633213043 3777:0.1227826178073883 5432:0.12277796119451523 5587:0.12270919233560562 3794:0.12255958467721939 5596:0.12251348048448563 5433:0.12223552912473679 3410:0.12216558307409286 3979:0.12199566513299942 4063:0.12198729068040848 5592:0.12196116149425507 5593:0.12181086838245392 3710:0.12137727439403534 3669:0.12134967744350433 4293:0.12110207974910736 3304:0.12109461426734924 4091:0.12103807926177979 3555:0.1209387555718422 3394:0.12093434482812881 3907:0.12081649154424667 3391:0.12070579081773758 4630:0.12065330147743225 929:0.12054122239351273 4490:0.12035132944583893 3440:0.12026316672563553 3380:0.12023261189460754 3693:0.12021684646606445 3589:0.12019145488739014 4360:0.12008071690797806 4621:0.11988980323076248 5673:0.11979129165410995 4305:0.11973683536052704 153:0.11967550218105316 3786:0.11965387314558029 4394:0.1195727214217186 4385:0.11954019218683243 4195:0.11950773000717163 4482:0.11944369226694107 956:0.11941241472959518 5514:0.11934977024793625
1,5923:0.6072442531585693 4662:0.5730651617050171 1166:0.551080048084259 5255:0.5434961915016174 539:0.5336421132087708 5939:0.5052217245101929 5937:0.49876564741134644 5736:0.49834588170051575 1893:0.4882802367210388 5954:0.48438724875450134 5490:0.4775732159614563 4982:0.47605258226394653 5311:0.46417516469955444 5345:0.46338599920272827 5853:0.44895753264427185 1029:0.4466657340526581 4990:0.44258347153663635 5341:0.44072094559669495 4856:0.43937769532203674 5017:0.4358447194099426 5797:0.4307555854320526 1768:0.4303129017353058 5256:0.42888981103897095 1537:0.42790237069129944 5467:0.42720919847488403 5140:0.42383381724357605 1156:0.4233523905277252 1285:0.4184149205684662 1663:0.41488829255104065 1777:0.4106888771057129 4836:0.40763604640960693 5339:0.4060480296611786 5789:0.40433645248413086 5315:0.4033624529838562 5036:0.4031919538974762 1409:0.401836097240448 6088:0.4018203020095825 4987:0.3955530524253845 1288:0.39348840713500977 1080:0.3888261318206787 1628:0.387206494808197 4852:0.38639330863952637 4287:0.3835514187812805 5314:0.3830421566963196 5039:0.3829041123390198 5978:0.3823915719985962 4855:0.3818621337413788 5343:0.3769546449184418 5925:0.3769088089466095 5508:0.37690553069114685 1514:0.3750346302986145 5842:0.3747149407863617 1656:0.3743734657764435 730:0.37295418977737427 1547:0.3678525388240814 5958:0.36714163422584534 1805:0.3650130331516266 1249:0.3641968369483948 5218:0.3635028302669525 5845:0.36135056614875793 5016:0.35918062925338745 4918:0.3591771125793457 1470:0.356188029050827 1235:0.35537365078926086 4766:0.3551155626773834 4049:0.35401150584220886 1894:0.3536814749240875 4995:0.3536726236343384 5322:0.35127854347229004 4996:0.3497879207134247 1369:0.3488641381263733 5843:0.3481089174747467 5362:0.3473512828350067 1019:0.34635716676712036 1165:0.34619423747062683 1443:0.34292110800743103 5962:0.3418480157852173 5146:0.3411518931388855 1920:0.34035006165504456 1871:0.3382778465747833 1580:0.3378775715827942 5829:0.33719345927238464 5472:0.33591681718826294 6072:0.3351629972457886 5993:0.3347797989845276 4789:0.33391764760017395 5844:0.33249005675315857 1241:0.332485556602478 1873:0.3309844136238098 4241:0.32953983545303345 5502:0.32871013879776 1807:0.3276776373386383 1412:0.32748737931251526 5738:0.32683733105659485 1361:0.3267437517642975 1056:0.3264557719230652 6064:0.3236430585384369 5875:0.32161515951156616 5466:0.32129621505737305 5469:0.3195386528968811
2,1657:0.9405723214149475 1658:0.8917971253395081 6065:0.8910175561904907 5312:0.8875367641448975 1639:0.8851953148841858 5040:0.8747773766517639 5349:0.8565546870231628 5137:0.8480868339538574 6041:0.8436354994773865 1068:0.8271629214286804 1655:0.8265050649642944 1546:0.8231536149978638 6043:0.8216490149497986 5805:0.8189042806625366 5786:0.8151805996894836 4660:0.8132703304290771 5952:0.8071793913841248 4997:0.803390622138977 5044:0.7943510413169861 5470:0.7932752370834351 4832:0.7930455803871155 4771:0.7909427285194397 5346:0.7898682951927185 5130:0.7882441878318787 5304:0.7859976887702942 5252:0.7848730087280273 946:0.7799298167228699 1364:0.7799021005630493 5367:0.7783954739570618 5737:0.7762787938117981 1466:0.7710856795310974 4862:0.7703995704650879 1619:0.7698472738265991 5859:0.7670332789421082 1804:0.7596091628074646 4765:0.7588533163070679 4957:0.7563568949699402 5323:0.7544108033180237 5356:0.7543534636497498 1248:0.7524600028991699 5309:0.751476526260376 1524:0.7513615489006042 5329:0.7489246129989624 533:0.7462828159332275 5832:0.7449894547462463 4919:0.7408528923988342 6042:0.7378389835357666 4983:0.7377967238426208 1274:0.7369358539581299 5851:0.7287217378616333 1444:0.7287086844444275 1634:0.7268849611282349 1317:0.7267094850540161 5861:0.7254921793937683 5938:0.7239652872085571 947:0.7229973673820496 379:0.7213050127029419 5283:0.7168164253234863 6096:0.7151755690574646 6095:0.7101567387580872 5787:0.709337055683136 4998:0.7081957459449768 1637:0.7064083814620972 4815:0.7050449252128601 1661:0.7009044885635376 1669:0.6997837424278259 5121:0.6951428651809692 5957:0.6938295960426331 5792:0.6916912794113159 1819:0.6899131536483765 1860:0.6887183785438538 4912:0.685881495475769 5984:0.6856597065925598 4727:0.6855043172836304 5344:0.6854693293571472 4954:0.6809718608856201 1543:0.680690586566925 4945:0.6786403656005859 5189:0.6764764785766602 5959:0.6760717034339905 6089:0.6748765110969543 5897:0.6720272302627563 1272:0.6709892749786377 4770:0.6701974868774414 5788:0.6680368781089783 1815:0.6672269105911255 1123:0.6666396856307983 6098:0.6661139130592346 5366:0.6656343340873718 5007:0.665330708026886 5326:0.6651625633239746 1206:0.6651105284690857 5037:0.6641207933425903 1858:0.6640442609786987 5290:0.6636971831321716 6097:0.6616396307945251 1811:0.6609179377555847 5956:0.6598168015480042 5317:0.6590654850006104 1126:0.6573819518089294
3,5435:0.19829806685447693 4579:0.1976158171892166 5597:0.19388459622859955 4264:0.1929149031639099 4199:0.1916351169347763 3818:0.18955346941947937 4265:0.18862952291965485 5591:0.18655547499656677 5599:0.18638527393341064 3373:0.18630477786064148 5434:0.18396511673927307 4034:0.1825176626443863 4319:0.182486429810524 3826:0.18173883855342865 4591:0.1817300021648407 4030:0.18125148117542267 968:0.18001200258731842 3308:0.1790866106748581 4166:0.17775163054466248 4057:0.17661987245082855 3977:0.17595802247524261 3776:0.17563939094543457 4213:0.1754838228225708 4237:0.1751520037651062 3765:0.17496876418590546 4056:0.17490661144256592 3283:0.17445498704910278 4351:0.1742284893989563 4560:0.1740858256816864 4507:0.17370954155921936 5596:0.17367632687091827 4239:0.17326697707176208 4580:0.17254206538200378 3885:0.17236973345279694 3374:0.17184804379940033 3825:0.17171165347099304 5589:0.1711285561323166 4597:0.1711033135652542 3438:0.17088082432746887 5731:0.17014390230178833 4602:0.17013441026210785 3954:0.1697334349155426 4599:0.16918349266052246 3978:0.16895529627799988 4318:0.1685650646686554 3817:0.16832734644412994 3233:0.16816669702529907 5578:0.16731546819210052 4389:0.16723589599132538 4332:0.1671760380268097 4198:0.16700230538845062 3764:0.16654105484485626 4388:0.1665363758802414 5580:0.16640523076057434 3437:0.16624274849891663 3888:0.1652713119983673 3309:0.16482101380825043 3435:0.16462570428848267 4448:0.16446173191070557 4338:0.16432960331439972 210:0.16417798399925232 3372:0.16391313076019287 3465:0.16366668045520782 3816:0.16365419328212738 3311:0.1636268049478531 3777:0.1624988466501236 5593:0.16223502159118652 4339:0.16210927069187164 3314:0.16200260818004608 5588:0.16178488731384277 4387:0.16159707307815552 3886:0.16119128465652466 5598:0.1610044687986374 3953:0.16096584498882294 5594:0.1609613299369812 4165:0.1603059470653534 3393:0.16018569469451904 4047:0.16009952127933502 5433:0.15993456542491913 3775:0.15982767939567566 4029:0.15969039499759674 4506:0.15929165482521057 3756:0.1591944545507431 4578:0.1588667929172516 4317:0.15886102616786957 4214:0.15877941250801086 4333:0.15876583755016327 4359:0.15863484144210815 3555:0.158535897731781 4394:0.15824943780899048 4154:0.1579659879207611 3258:0.1579350233078003 3820:0.15784534811973572 4055:0.1577812135219574 5678:0.1575135737657547 3379:0.1568293571472168 3248:0.15639114379882812 4219:0.15628743171691895 5595:0.1561904400587082 4598:0.15616753697395325
4,954:0.1775643527507782 3824:0.17649056017398834 4266:0.1629551500082016 727:0.1614534705877304 992:0.15803857147693634 4905:0.15567666292190552 4392:0.1538291871547699 427:0.15082809329032898 625:0.14984305202960968 1032:0.14928314089775085 4260:0.14633052051067352 746:0.1411392241716385 3707:0.13707329332828522 256:0.134099543094635 3815:0.1338847279548645 5421:0.13320469856262207 3807:0.13299401104450226 3805:0.13279816508293152 497:0.13157951831817627 4442:0.13140152394771576 5515:0.13105911016464233 5419:0.1304849237203598 824:0.13044103980064392 3608:0.1302029937505722 4163:0.13009002804756165 5456:0.1297813355922699 3979:0.12855736911296844 939:0.12800396978855133 5735:0.12743324041366577 4058:0.1272965520620346 5444:0.1272043138742447 224:0.12690822780132294 4629:0.12680649757385254 959:0.1267324835062027 4430:0.12581393122673035 5420:0.12552471458911896 3235:0.12524433434009552 915:0.1249336302280426 4423:0.12472876161336899 4048:0.12464265525341034 797:0.12440472096204758 3796:0.12417344003915787 979:0.12387020140886307 1033:0.12292377650737762 3509:0.12228812277317047 4252:0.12204164266586304 537:0.1218629702925682 5463:0.12097331136465073 5376:0.12077414989471436 4212:0.12015121430158615 3806:0.1190265342593193 956:0.11902648210525513 3790:0.11901752650737762 988:0.11896009743213654 977:0.11875379830598831 827:0.1186474934220314 79:0.11864370852708817 3708:0.11833661794662476 184:0.11826436221599579 729:0.118061862885952 3532:0.11734281480312347 4267:0.11685065180063248 3389:0.11664492636919022 4306:0.1166083887219429 3378:0.11649559438228607 3305:0.11609503626823425 4285:0.11599735170602798 4487:0.11590538173913956 545:0.11470246315002441 317:0.11467282474040985 3385:0.11457319557666779 5418:0.1145634651184082 999:0.11417007446289062 995:0.11416003853082657 456:0.11359792202711105 652:0.11342719197273254 3284:0.11321345716714859 4496:0.11318103969097137 3849:0.11317288875579834 927:0.11288249492645264 5514:0.1128058061003685 419:0.11272097378969193 4383:0.11270897090435028 3455:0.11262566596269608 3531:0.11245197802782059 5673:0.1122722178697586 5035:0.11226600408554077 3787:0.11219605803489685 5560:0.11218160390853882 3710:0.11211913824081421 4488:0.11211411654949188 3392:0.11158248037099838 3905:0.11154299974441528 3492:0.11149618774652481 3562:0.11143774539232254 4603:0.11132480204105377 3814:0.11124525219202042 5430:0.11119706183671951 3307:0.11115425825119019 435:0.11114323884248734
5,915:0.28763577342033386 977:0.2842864990234375 992:0.24499720335006714 729:0.2399812638759613 427:0.22204476594924927 4905:0.20207571983337402 256:0.18289083242416382 3807:0.18245577812194824 979:0.17720620334148407 625:0.17056892812252045 5280:0.17034535109996796 1918:0.1668490469455719 5035:0.15944494307041168 5049:0.15745429694652557 3823:0.15343816578388214 999:0.15081727504730225 224:0.14869172871112823 4212:0.14545297622680664 4252:0.14475496113300323 826:0.1431397646665573 746:0.1426539570093155 954:0.14240865409374237 3824:0.14123229682445526 5497:0.140466570854187 4048:0.13932013511657715 4266:0.13649316132068634 727:0.1362837702035904 1032:0.13593998551368713 3815:0.13500486314296722 5884:0.13472647964954376 1396:0.13452081382274628 4629:0.13408806920051575 797:0.13382111489772797 4392:0.1334134191274643 718:0.13338476419448853 4423:0.13305328786373138 5444:0.132920041680336 4286:0.1322634369134903 3796:0.13101157546043396 5351:0.13093885779380798 4760:0.13071855902671814 289:0.13069309294223785 851:0.13032343983650208 3608:0.12893450260162354 5463:0.12569324672222137 426:0.12457068264484406 666:0.12412984669208527 959:0.12301107496023178 5735:0.12298755347728729 170:0.12270902842283249 1531:0.12240252643823624 723:0.12228833884000778 6001:0.12198272347450256 163:0.12186797708272934 3509:0.12186244875192642 5101:0.12179802358150482 184:0.12150084227323532 1856:0.12070220708847046 3531:0.1199881061911583 933:0.1197790652513504 335:0.11961692571640015 4267:0.11945444345474243 3532:0.11935088783502579 988:0.11910642683506012 5846:0.1191028356552124 4484:0.11866725981235504 4285:0.1185780018568039 79:0.11823765933513641 864:0.1182183101773262 5420:0.11804977804422379 3979:0.11782121658325195 3235:0.11739183962345123 4424:0.11708184331655502 5421:0.11694826185703278 5174:0.11649467051029205 4260:0.11637713760137558 3814:0.11634939163923264 5560:0.11631755530834198 135:0.11611825972795486 3790:0.115428626537323 3806:0.1153329536318779 4603:0.11489511281251907 4442:0.11453952640295029 3813:0.11427327990531921 349:0.11417602747678757 3797:0.11417485773563385 5746:0.11372435837984085 852:0.1135648712515831 1004:0.11354805529117584 3934:0.11344852298498154 3788:0.11330313235521317 351:0.11321286112070084 5911:0.11294518411159515 995:0.1129411980509758 273:0.11268394440412521 5376:0.11263470351696014 4818:0.11251802742481232 3458:0.11226513236761093 803:0.11217276751995087 927:0.112009197473526
